book_title,book_author,book_translator,book_pub_date,book_isbn
안드로이드의 모든 것 분석과 포팅,"고현철 , 유형목 ",2011-06-14,792 쪽,1770
기초 미분적분학 : Pre Calculus,함남우 ,2014-01-28,392 쪽,4081
맛있는 디자인 인디자인 CC,황지완 ,2016-02-19,496 쪽,2242
"IT CookBook, 초보자의 첫 번째 컴퓨터와 인터넷 활용",최희식 ,2009-11-05,132 쪽,1700
"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 ",2014-03-12,460 쪽,4105
미적분학,"Carol Ash , Robert B. Ash ","김광수 , 최형규 ",2016-01-21,9791156642343
"이것이 레디스다 : 초고속 읽기 쓰기를 제공하는 인메모리 기반 NoSQL, Redis",정경석 ,2013-11-28,480 쪽,2059
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk ","권기영 , 조성재 , 유태훈 ",2017-11-30,9791156643661
"IT CookBook, 원리로 이해하는 마이크로파 공학",홍익표 ,2015-07-10,432 쪽,4189
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,2014-07-10,408 쪽,4122
이것이 안드로이드다,박성근 ,2014-08-25,1164 쪽,2117
"Head First Python, 개정판",폴 배리 ,우정은 ,2017-12-04,9791162240281
Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기,돈 그리피스 ,임백준 ,2012-04-26,9788979147278
정유진의 웹 2.0 기획론: 강력한 웹 2.0 서비스를 만드는 13개의 키워드,정유진 ,2006-12-15,392 쪽,1455
Think Stats : 프로그래머를 위한 통계 및 데이터 분석 방법,앨런 B. 다우니 ,김석우 ,2013-09-03,9788968486340
Hello Coding 프로그래밍,Pope Kim ,2018-01-02,352 쪽,10034
공학 핵심수학 : Core Mathematics for Engineering,함남우 ,2015-01-01,372 쪽,4143
공학 기초수학 : Basic Mathematics for Engineering,함남우 ,2014-07-07,412 쪽,4117
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,김도형 ,2017-04-01,9788968483547
"IT CookBook, 웹 디자인 이론과 실습",강은정 ,2017-06-05,400 쪽,4325
자바 네트워크 소녀 네티,정경석 ,2015-10-22,348 쪽,2224
기초수학 : Basic Mathematics,"이재원 , 박성욱 ",2014-03-21,408 쪽,4108
대학수학 Plus : University Mathematics,이재원 ,2013-10-14,528 쪽,4063
"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) ,홍익표 ,2014-03-12,9791156641063
"임베디드 안드로이드 : 안드로이드 포팅, 확장, 커스터마이징하기",카림 야크무르 ,이성주 ,2015-03-09,9788968481772
맛있는 디자인 일러스트레이터 CC 2017,박정아 ,2017-10-10,572 쪽,10006
나의 첫 파이썬,에릭 마테스 ,한선용 ,2017-05-01,9788968483561
"자바 8 인 액션 : 람다, 스트림, 함수형 프로그래밍으로 새로워진 자바 마스터하기","라울-게이브리얼 우르마 , 마리오 푸스코 , 앨런 마이크로프트 ",우정은 ,2015-03-19,9788968481796
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV2. 본격 파이썬 입문",크리스 로피 ,"이지호 , 유형목 ",2015-08-26,9788968482175
기초 미분적분학(개정판) : Pre Calculus,함남우 ,2017-07-07,392 쪽,4321
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기",김종훈 ,2015-07-28,248 쪽,2210
스크럼 성공전략 : 성공하는 애자일을 위한 30가지 지름길,일란 골드스타인(Ilan Goldstein) ,박남혜 ,2014-09-02,9788968481239
Designing Web Navigation : 사용자 경험 최적화를 위한 웹 내비게이션 설계 원칙,제임스 콜백 ,김소영 ,2008-03-01,9788979145588
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV3. 제대로 된 파이썬 앱 만들기",크리스 로피 ,"이지호 , 유형목 ",2015-11-06,9788968482335
"(꼬마해커의 작업실, 수프) 스크래치 알고리즘 : 초등학생도 볼 수 있는 가장 쉬운 알고리즘",김종훈 ,2014-11-12,276 쪽,2139
Head First C : 내공 있는 C 프로그래머로 이끌어주는 착한 안내서,"데이빗 그리피스 , 돈 그리피스 ",강권학 ,2012-11-08,9788979149760
안드로이드 멀티스레딩: 비동기 메커니즘으로 날렵하고 안정적인 앱 만들기,안데르스 예란손 ,한대희 ,2015-02-27,9788968481703
"(꼬마해커의 작업실, 수프) 스크래치 : 창의력과 문제해결능력 향상을 위한 첫걸음","김종훈 , 양영훈 ",2014-03-20,236 쪽,2082
자바스크립트를 말하다 : 가장 간결하면서도 완벽한 자바스크립트 입문서,악셀 라우슈마이어 ,한선용 ,2014-09-12,9788968481192
안드로이드 시큐리티 인터널,니콜라이 옐렌코프 ,강권학 ,2015-06-27,9788968481970
확률과 통계 입문 : Basic Probability & Statistics,이재원 ,2017-07-10,352 쪽,4322
생생한 사례로 배우는 확률과 통계,이재원 ,2016-07-15,476 쪽,4261
"한 권으로 끝내는 Node & Express(Node 4, Express 4 테스트 완료)",이선 브라운 ,한선용 ,2015-10-24,9788968482229
애자일 개발과 스크럼 : 더 나은 자신과 팀을 위한 소프트웨어 개발 방법,"노나카 이쿠지로 , 히라나베 겐지 ",이명교 ,2014-07-28,9788968481109
이것이 우분투 리눅스다,우재남 ,2017-02-01,820 쪽,2461
9가지 사례로 익히는 고급 스파크 분석,"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","서양주 , 권한철 , 박상은 ",2016-07-01,9788968482892
이것이 C 언어다,서현우 ,2014-05-20,708 쪽,2102
Head First Programming : 파이썬으로 처음 배우는 프로그래밍,"폴 배리 , 데이빗 그리피스 ",강권학 ,2011-03-17,9788979148190
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,2014-10-10,400 쪽,4131
파이썬을 활용한 금융 분석,이브 힐피시 ,김도형 ,2016-05-18,9788968482779
"IT CookBook,  파이썬 for Beginner",우재남 ,2017-11-30,504 쪽,4359
성능을 100% 끌어내는 멀티코어 애플리케이션 프로그래밍,대릴 고브 ,권오인 ,2012-06-28,9788979149289
뇌를 자극하는 C 프로그래밍,서현우 ,2005-10-01,684 쪽,1344
이것이 우분투 리눅스다,우재남 ,2017-02-01,820 쪽,2461
"IT CookBook, 비주얼 베이직 for Beginner",임관철 ,2014-09-01,448 쪽,4136
"IT CookBook, C언어 for Beginner(개정판)",우재남 ,2014-08-08,493 쪽,4133
이것이 Windows Server다,우재남 ,2017-07-01,924 쪽,2861
"IT EXPERT, 64비트 멀티코어 OS 원리와 구조 1권: OS 개발 60일 프로젝트",한승훈 ,2011-07-23,1472 쪽,1836
"IT CookBook, 비주얼 베이직 2010 for Beginner",임관철 ,2015-02-26,432 쪽,4172
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,2016-12-30,432 쪽,4306
뇌를 자극하는 Windows Server 2012 R2,우재남 ,2016-02-05,880 쪽,2236
"IT CookBook, Compact C 프로그래밍",김충석 ,2014-12-15,536 쪽,4148
"IT CookBook, 비주얼 베이직 프로그래밍 : 윈도우 프로그래밍의 첫 걸음",고응남 ,2007-10-26,644 쪽,1500
"IT EXPERT, 64비트 멀티코어 OS 원리와 구조 2권: OS 개발 60일 프로젝트",한승훈 ,2011-07-23,1508 쪽,1837
"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 ",2013-03-20,652 쪽,4016
